Det File Crosshead Load1 Load2 sampX sampY I0 Trans  dH1 ddH1 dV1 ddV1 dXY1 ddXY1 PeakInt1 mFWHM1 dHplus1 dHminus1  dH2 ddH2 dV2 ddV2 dXY2 ddXY2 PeakInt2 mFWHM2 dHplus2 dHminus2  dH3 ddH3 dV3 ddV3 dXY3 ddXY3 PeakInt3 mFWHM3 dHplus3 dHminus3  dH4 ddH4 dV4 ddV4 dXY4 ddXY4 PeakInt4 mFWHM4 dHplus4 dHminus4 dH5 ddH5 dV5 ddV5 dXY5 ddXY5 PeakInt5 mFWHM5 dHplus5 dHminus5 
5 5680 -25.628500 1783.880000 1698.110000 4.300000 0.040002 3.229371e+08 0.259824 1.994178 0.000112 1.995620 0.000170 1.994807 0.000117 1323.185485 3.011612 1.986514 2.001902 1.410566 0.000037 1.411646 0.000201 1.411149 0.000043 247.142437 3.274161 1.406724 1.414429 0.997773 0.000039 0.997932 0.000138 0.997944 0.000065 106.144483 4.114013 0.995446 1.000111 0.892507 0.000100 0.892684 0.000105 0.892748 0.000055 116.769621 4.646047 0.890561 0.894463 0.814608 0.000054 0.814997 0.000121 0.814985 0.000026 27.392758 4.603402 0.812807 0.816418
5 5681 -25.628700 1784.650000 1698.100000 4.320000 0.040002 3.233566e+08 0.258478 1.994083 0.000113 1.995513 0.000158 1.994756 0.000095 1353.320294 3.009359 1.986390 2.001836 1.410571 0.000038 1.411438 0.000198 1.411084 0.000048 246.683962 3.353797 1.406746 1.414418 0.997705 0.000040 0.997972 0.000122 0.997938 0.000066 103.419689 4.110514 0.995369 1.000052 0.892516 0.000094 0.892656 0.000123 0.892754 0.000051 117.757974 4.708828 0.890545 0.894497 0.814575 0.000049 0.814969 0.000108 0.814917 0.000040 27.090055 4.660037 0.812767 0.816391
5 5682 -25.628600 1784.340000 1698.690000 4.340000 0.040002 3.227972e+08 0.258463 1.994071 0.000106 1.995592 0.000156 1.994753 0.000101 1339.223719 3.006925 1.986404 2.001798 1.410584 0.000036 1.411600 0.000165 1.411052 0.000050 243.989528 3.306427 1.406758 1.414433 0.997718 0.000036 0.997962 0.000147 0.997936 0.000056 105.140176 4.191277 0.995413 1.000034 0.892519 0.000088 0.892657 0.000118 0.892720 0.000048 114.892167 4.711497 0.890531 0.894517 0.814651 0.000047 0.814942 0.000114 0.814889 0.000040 27.320053 4.829592 0.812817 0.816495
5 5683 -25.628700 1784.710000 1697.590000 4.360000 0.040002 3.215385e+08 0.257329 1.994192 0.000095 1.995371 0.000190 1.994649 0.000096 1336.421269 3.000775 1.986596 2.001847 1.410315 0.000050 1.411701 0.000148 1.411045 0.000052 247.221940 3.373915 1.406463 1.414189 0.997793 0.000036 0.997976 0.000152 0.997858 0.000056 103.994091 4.169804 0.995473 1.000125 0.892531 0.000097 0.892719 0.000112 0.892745 0.000058 114.944719 4.726450 0.890534 0.894537 0.814590 0.000049 0.815091 0.000104 0.814865 0.000043 27.713379 4.804232 0.812779 0.816409
5 5684 -25.628700 1784.260000 1698.440000 4.380000 0.040002 3.222378e+08 0.257089 1.994227 0.000107 1.995133 0.000195 1.994600 0.000095 1351.682394 3.001169 1.986561 2.001954 1.410428 0.000044 1.411705 0.000157 1.411021 0.000047 256.701179 3.285017 1.406528 1.414349 0.997802 0.000033 0.997902 0.000126 0.997869 0.000055 105.343783 4.242321 0.995446 1.000171 0.892526 0.000108 0.892750 0.000115 0.892728 0.000057 114.081490 4.699109 0.890526 0.894536 0.814530 0.000056 0.815078 0.000088 0.814870 0.000041 27.664291 4.822321 0.812708 0.816360
5 5685 -25.628700 1785.200000 1698.940000 4.400000 0.040002 3.226573e+08 0.256870 1.994199 0.000110 1.995162 0.000164 1.994534 0.000100 1351.896837 3.008761 1.986501 2.001956 1.410570 0.000038 1.411303 0.000158 1.410986 0.000039 252.844163 3.270661 1.406661 1.414501 0.997751 0.000033 0.997917 0.000104 0.997865 0.000047 104.816025 4.200900 0.995398 1.000115 0.892509 0.000116 0.892736 0.000096 0.892694 0.000060 114.757258 4.737258 0.890544 0.894484 0.814516 0.000062 0.814986 0.000095 0.814837 0.000046 26.903301 4.652803 0.812663 0.816377
5 5686 -25.628600 1785.120000 1697.670000 4.420000 0.040002 3.232168e+08 0.256916 1.994357 0.000109 1.995205 0.000095 1.994520 0.000093 1319.058810 3.003506 1.986674 2.002101 1.410550 0.000038 1.411018 0.000141 1.410943 0.000042 255.509636 3.285035 1.406628 1.414496 0.997783 0.000038 0.997898 0.000121 0.997925 0.000052 105.693060 4.123044 0.995442 1.000136 0.892500 0.000119 0.892728 0.000098 0.892702 0.000058 115.470448 4.658459 0.890548 0.894461 0.814549 0.000049 0.814910 0.000084 0.814849 0.000050 27.095284 4.668596 0.812717 0.816390
5 5687 -25.628800 1784.970000 1698.210000 4.440000 0.040002 3.220979e+08 0.256998 1.994218 0.000118 1.994794 0.000150 1.994447 0.000086 1313.206566 2.998710 1.986482 2.002015 1.410450 0.000046 1.411074 0.000112 1.410820 0.000047 256.229541 3.245840 1.406502 1.414420 0.997656 0.000041 0.997826 0.000133 0.997882 0.000054 104.645154 4.077952 0.995285 1.000038 0.892496 0.000117 0.892669 0.000093 0.892677 0.000047 115.526219 4.633166 0.890499 0.894502 0.814503 0.000058 0.814931 0.000063 0.814758 0.000049 28.693768 4.631802 0.812669 0.816345
5 5688 -25.628900 1785.520000 1699.960000 4.460000 0.040002 3.212587e+08 0.257495 1.994032 0.000115 1.994777 0.000180 1.994388 0.000078 1352.805797 2.993960 1.986306 2.001819 1.410368 0.000050 1.411167 0.000092 1.410826 0.000046 258.902803 3.227313 1.406443 1.414315 0.997693 0.000044 0.997857 0.000105 0.997795 0.000044 106.569479 4.054696 0.995290 1.000108 0.892478 0.000101 0.892568 0.000088 0.892616 0.000044 117.323556 4.641929 0.890492 0.894474 0.814542 0.000049 0.814911 0.000040 0.814748 0.000047 28.791641 4.613955 0.812718 0.816375
5 5689 -25.628600 1784.880000 1697.690000 4.480000 0.040002 3.212587e+08 0.257060 1.994050 0.000101 1.994566 0.000206 1.994336 0.000072 1359.461112 2.986293 1.986427 2.001733 1.410458 0.000043 1.411073 0.000087 1.410823 0.000043 262.636516 3.230737 1.406565 1.414373 0.997750 0.000043 0.997832 0.000091 0.997743 0.000041 110.353746 4.016580 0.995341 1.000170 0.892466 0.000117 0.892610 0.000073 0.892595 0.000046 118.859129 4.588605 0.890503 0.894437 0.814572 0.000043 0.814871 0.000038 0.814788 0.000046 26.612985 4.615944 0.812766 0.816387
5 5690 -25.628600 1785.110000 1698.600000 4.300000 0.120000 3.223776e+08 0.257209 1.994147 0.000109 1.995400 0.000172 1.994673 0.000095 1352.722988 2.985048 1.986518 2.001834 1.410409 0.000037 1.411587 0.000191 1.411221 0.000043 248.875092 3.255939 1.406713 1.414124 0.997731 0.000033 0.998072 0.000129 0.997894 0.000045 107.846876 4.066299 0.995483 0.999989 0.892463 0.000088 0.892919 0.000111 0.892663 0.000064 113.976385 4.623640 0.890599 0.894335 0.814497 0.000038 0.815102 0.000051 0.814928 0.000045 26.948741 4.687845 0.812782 0.816219
5 5691 -25.628800 1784.980000 1696.140000 4.320000 0.120000 3.219580e+08 0.257168 1.994138 0.000104 1.995366 0.000148 1.994702 0.000106 1383.592566 2.981786 1.986537 2.001798 1.410391 0.000036 1.411658 0.000179 1.411223 0.000035 250.053936 3.230774 1.406708 1.414093 0.997748 0.000030 0.998135 0.000127 0.997919 0.000048 103.622334 4.004305 0.995481 1.000025 0.892455 0.000076 0.892932 0.000112 0.892649 0.000067 115.018380 4.609984 0.890574 0.894345 0.814511 0.000041 0.815024 0.000079 0.814859 0.000054 26.964290 4.763322 0.812811 0.816219
